"2","IOSE"
"2","MEDIFE"
"2","SMAUNAM"
"7","SMAUNAM"
"8","MEDIFE"
"8","SMAUNAM"
"12","IOSE"
"22","IOSE"
"22","MEDIFE"
"27","IOSE"
"27","MEDIFE"
"27","SMAUNAM"
"71","MEDIFE"
"78","MEDIFE"
"78","SMAUNAM"
"87","MEDIFE"
"87","SMAUNAM"
